client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
5468c7f38964931b89631212638e6a2ca9c6930059038c2fb772dbe6b71690a41b9fba9d520778422f9dbd091c69ac6b0d4a0da80b21ac94c85fc953e09acb1e	common_voice_pl_39606644.mp3	1dc2952e32982fe9aec8fe66639dc7795000126f8fa43f6ec92330a06341195f	Media muszą mieć swobodę działania w granicach prawa i publikowania swoich materiałów w kraju		0	2					pl	
85483aaea9ead51355fb9871e3471455b24b06d3af5e02a589b19c6592c9554bd7eea8f26210ba3c42755ba939b37982b664dba2bf9db3a4628dff31b88fc65b	common_voice_pl_39708141.mp3	1de2974c30744e335fa0cb3959050d09c85de06000dee6e6f42eb2b7e4a6010b	Kolejnym aspektem, o którym chciałabym wspomnieć, jest system emerytalny		0	2					pl	
85483aaea9ead51355fb9871e3471455b24b06d3af5e02a589b19c6592c9554bd7eea8f26210ba3c42755ba939b37982b664dba2bf9db3a4628dff31b88fc65b	common_voice_pl_39708142.mp3	1e212f3ae7da5a145b40a72493dabf5db9da50e4fb5896fcd6703f04b4da304a	Ja także jestem bardzo zadowolony z wyników tej debaty		0	2					pl	
85483aaea9ead51355fb9871e3471455b24b06d3af5e02a589b19c6592c9554bd7eea8f26210ba3c42755ba939b37982b664dba2bf9db3a4628dff31b88fc65b	common_voice_pl_39708143.mp3	1e230f218f94643194d80ef384eb651555d6497b30abe0becba7de460f5cfa14	To samo dotyczy sprawdzania i kontrolowania przekazywanych informacji		0	2					pl	
85483aaea9ead51355fb9871e3471455b24b06d3af5e02a589b19c6592c9554bd7eea8f26210ba3c42755ba939b37982b664dba2bf9db3a4628dff31b88fc65b	common_voice_pl_39708145.mp3	1c2d2cc75878b4ad2e0082dc89e7b09f4d5c64590bcd34c7dd16c31ff65465bb	Ponadto nie byłoby również tych wszystkich skandali gospodarczych		0	2					pl	
ef8fbeac756a6a2141ae62c4bf1111c213cc054a6fc099958996a257602b370bb58939503364b21b3651f98fa0df1ea7e217c17ab2f12fd52f5145f9054ec36b	common_voice_pl_39715024.mp3	1cb66e85261437b4e192d7097f0cd4211b17b441718a9ccf986ecc20cf5aa40e	To się nazywa niezamierzone skutki, ale i tak jesteśmy mu wdzięczni za interwencję		1	2	fourties	male_masculine			pl	
2f1e9e2e51d321ed2f9ea32e3e10fb73a8111fbcd902086ead986f302e7470108fbb680cce411dd073ab96ec5bf0c9b3a76ff840cb6230dd890fb8ed3fed1f36	common_voice_pl_39716212.mp3	1e0edf0a088d0b9035383f47d0254aa6e598296c110b4089d06d301d3f4aec4d	Błędem byłoby uważać ten dobrobyt i ten wpływ za rzecz oczywistą		0	2	twenties	male_masculine			pl	
2f1e9e2e51d321ed2f9ea32e3e10fb73a8111fbcd902086ead986f302e7470108fbb680cce411dd073ab96ec5bf0c9b3a76ff840cb6230dd890fb8ed3fed1f36	common_voice_pl_39716213.mp3	05d0fbac62623cda166b1b6f89db1d5446d8467ecb9486c786b3b3f156e5570a	"Wejście moje nie zostało dostrzeżone i nie przerwało rozmowy, która była bardzo żywa."		0	2	twenties	male_masculine			pl	
6f14b093065038d5f48b252d65377fc2603a358a255c2cce78eb37da151437cadc03b5b8631b7785cf998a12b41fe7e0db219f49855f2cd4c494e7ef8bfb58bd	common_voice_pl_39719624.mp3	1cb66e85261437b4e192d7097f0cd4211b17b441718a9ccf986ecc20cf5aa40e	To się nazywa niezamierzone skutki, ale i tak jesteśmy mu wdzięczni za interwencję		0	2					pl	
6f14b093065038d5f48b252d65377fc2603a358a255c2cce78eb37da151437cadc03b5b8631b7785cf998a12b41fe7e0db219f49855f2cd4c494e7ef8bfb58bd	common_voice_pl_39719632.mp3	1e0d5d186b80540464453d692de69dad7108520a6940bf4d64d08633b393c0dd	Chcąc zapewnić konkurencyjność europejskiego przemysłu, centralnym punktem wszystkich naszych negocjacji uczyniliśmy zasadę wzajemności		1	2					pl	
fa0c868150d3d1dcba3c835623fcc6bcfa7c8df4560b1f58fac21569cb38bd4d318dfde715c27c2d3b2291a4241c54418a33cecf32cf21d66c9481bde1d2187a	common_voice_pl_39792959.mp3	1e126cc8eccb807545cf6721060e5027ea1ccd0f59c268b53cfc231cdbcf3d4b	Uważam, że w kontekście tego porozumienia, pozycja Parlamentu Europejskiego będzie znacznie mocniejsza niż dotychczas		0	2					pl	
fa0c868150d3d1dcba3c835623fcc6bcfa7c8df4560b1f58fac21569cb38bd4d318dfde715c27c2d3b2291a4241c54418a33cecf32cf21d66c9481bde1d2187a	common_voice_pl_39793062.mp3	1ddf8f5f4c7af176a8e587c222eb0357a9441d54440e2e8e8a5ccf2135042a58	Co Rada robi obecnie?		0	2					pl	
fa0c868150d3d1dcba3c835623fcc6bcfa7c8df4560b1f58fac21569cb38bd4d318dfde715c27c2d3b2291a4241c54418a33cecf32cf21d66c9481bde1d2187a	common_voice_pl_39793157.mp3	1e08f97fc7daf902befbe512fec22c23eeab8ea2d40996ad4ee766f64b902762	Cieszy mnie, że mogę prezentować państwu to sprawozdanie w sprawie przyznania pomocy makrofinansowej Libanowi		1	2					pl	
fa0c868150d3d1dcba3c835623fcc6bcfa7c8df4560b1f58fac21569cb38bd4d318dfde715c27c2d3b2291a4241c54418a33cecf32cf21d66c9481bde1d2187a	common_voice_pl_39793159.mp3	06fcaa91629f56e0c379e5332a3c52f0acdf3fb25f3a585bb92770cfa85fa379	"Nie wiemy, czyli ci panowie mają słuszność."		0	2					pl	
fa0c868150d3d1dcba3c835623fcc6bcfa7c8df4560b1f58fac21569cb38bd4d318dfde715c27c2d3b2291a4241c54418a33cecf32cf21d66c9481bde1d2187a	common_voice_pl_39793161.mp3	06d8a51353c26bef50acc21ae5f736e0a608994ba0a5a19d65b17812ceaa820c	"Uczyła nas przecie wszystkie tej sztuki Stacha Bozowska."		0	2					pl	
ac14b3bc99fbcadf3ca7cfb0902af74514cb0a7d79e19b2bab82e337b5355e186df9d7e630aefc5e81e43cd2a748fd4c27a9b986562244f6d504dcad2d657fb3	common_voice_pl_39817387.mp3	1e0375444e6d4ee3ce7aaa3781ce2e0b70777858c9f060d2fd17023fe83ef5b0	Mówcy będą zabierali głos według następującej kolejności		0	4	thirties	female_feminine	Czysty polski		pl	
5fb69a6c814fb4def361fcff6e4cb25c3c4fda9cc64f809a8b6f2395202cb5ea7e8f81812829076841ce0cf214d560a745ef3002dcd8aaaeb7a6d31fe7cc9bac	common_voice_pl_39838763.mp3	1e4c6cbbc3f28adb84e97ff063a05b4c895fe380ee932ff12980708d4088b1fe	Pragnę pogratulować naszemu sprawozdawcy oraz wszystkim posłom, którzy pracowali nad tym zagadnieniem		0	2					pl	
